iter	Passed	Remaining
878	35771	86315
879	35811	86274
880	35851	86230
881	35890	86186
882	35929	86142
883	35970	86101
884	36010	86058
885	36050	86015
886	36090	85974
887	36131	85933
888	36172	85893
889	36211	85850
890	36251	85808
891	36293	85769
892	36333	85728
893	36374	85688
894	36414	85645
895	36454	85602
896	36494	85560
897	36536	85522
898	36577	85483
899	36618	85442
900	36657	85399
901	36697	85357
902	36737	85314
903	36777	85272
904	36817	85229
905	36858	85188
906	36899	85149
907	36939	85108
908	36979	85064
909	37019	85022
910	37060	84982
911	37101	84941
912	37140	84898
913	37180	84855
914	37220	84812
915	37260	84771
916	37300	84729
917	37340	84688
918	37381	84647
919	37422	84606
920	37462	84565
921	37503	84524
922	37543	84482
923	37583	84439
924	37622	84397
925	37664	84359
926	37707	84322
927	37748	84282
928	37788	84241
929	37829	84201
930	37868	84157
931	37908	84114
932	37948	84071
933	37987	84028
934	38028	83987
935	38067	83944
936	38108	83903
937	38151	83869
938	38194	83832
939	38236	83795
940	38277	83755
941	38318	83715
942	38358	83673
943	38398	83631
944	38439	83589
945	38478	83545
946	38519	83505
947	38558	83462
948	38599	83422
949	38639	83378
950	38678	83335
951	38719	83294
952	38758	83251
953	38800	83214
954	38840	83170
955	38880	83128
956	38919	83085
957	38959	83043
958	39000	83003
959	39040	82960
960	39079	82916
961	39119	82873
962	39159	82832
963	39199	82790
964	39239	82749
965	39279	82707
966	39321	82668
967	39362	82628
968	39402	82587
969	39442	82545
970	39484	82506
971	39526	82468
972	39567	82428
973	39609	82390
974	39650	82350
975	39691	82311
976	39731	82269
977	39773	82230
978	39814	82190
979	39854	82149
980	39896	82110
981	39936	82068
982	39978	82030
983	40018	81988
984	40058	81946
985	40099	81906
986	40139	81865
987	40179	81823
988	40219	81781
989	40259	81739
990	40299	81697
991	40339	81655
992	40379	81612
993	40419	81571
994	40460	81531
995	40502	81492
996	40541	81449
997	40581	81406
998	40621	81364
999	40661	81323
1000	40701	81280
1001	40741	81239
1002	40781	81196
1003	40821	81155
1004	40861	81113
1005	40900	81069
1006	40941	81029
1007	40981	80986
1008	41020	80944
1009	41060	80901
1010	41101	80860
1011	41140	80817
1012	41181	80777
1013	41221	80735
1014	41261	80692
1015	41301	80652
1016	41343	80613
1017	41387	80579
1018	41430	80543
1019	41470	80501
1020	41510	80460
1021	41551	80418
1022	41591	80377
1023	41631	80335
1024	41672	80294
1025	41713	80255
1026	41752	80212
1027	41792	80170
1028	41832	80127
1029	41873	80087
1030	41913	80046
1031	41953	80003
1032	41992	79960
1033	42031	79916
1034	42071	79874
1035	42111	79832
1036	42153	79794
1037	42194	79754
1038	42234	79713
1039	42275	79672
1040	42315	79631
1041	42355	79589
1042	42394	79546
1043	42434	79503
1044	42474	79461
1045	42514	79419
1046	42553	79377
1047	42594	79335
1048	42634	79294
1049	42674	79252
1050	42714	79211
1051	42756	79172
1052	42797	79132
1053	42837	79090
1054	42876	79047
1055	42917	79007
1056	42958	78967
1057	42998	78925
1058	43038	78882
1059	43079	78843
1060	43120	78802
1061	43160	78761
1062	43199	78718
1063	43239	78676
1064	43280	78636
1065	43320	78595
1066	43362	78556
1067	43403	78516
1068	43443	78475
1069	43484	78434
1070	43524	78392
1071	43564	78351
1072	43604	78310
1073	43646	78270
1074	43685	78226
1075	43725	78185
1076	43765	78144
1077	43805	78102
1078	43846	78062
1079	43886	78020
1080	43926	77979
1081	43966	77936
1082	44006	77895
1083	44046	77852
1084	44086	77811
1085	44126	77769
1086	44167	77729
1087	44207	77687
1088	44246	77645
1089	44287	77605
1090	44328	77564
1091	44370	77526
1092	44412	77488
1093	44455	77451
1094	44499	77417
1095	44543	77381
1096	44585	77343
1097	44625	77301
1098	44664	77258
1099	44704	77216
1100	44743	77174
1101	44784	77132
1102	44825	77093
1103	44865	77052
1104	44907	77012
1105	44949	76974
1106	44989	76933
1107	45028	76890
1108	45069	76850
1109	45109	76808
1110	45148	76765
1111	45189	76724
1112	45231	76685
1113	45272	76646
1114	45311	76603
1115	45352	76562
1116	45392	76521
1117	45433	76481
1118	45472	76438
1119	45513	76396
1120	45553	76356
1121	45593	76314
1122	45633	76273
1123	45673	76230
1124	45714	76190
1125	45754	76149
1126	45794	76107
1127	45834	76065
1128	45873	76022
1129	45914	75982
1130	45955	75942
1131	45995	75901
1132	46035	75859
1133	46077	75821
1134	46122	75787
1135	46162	75746
1136	46202	75703
1137	46243	75663
1138	46285	75625
1139	46327	75587
1140	46370	75550
1141	46413	75513
1142	46455	75475
1143	46497	75437
1144	46541	75401
1145	46583	75363
1146	46625	75324
1147	46668	75288
1148	46710	75249
1149	46753	75211
1150	46796	75175
1151	46839	75138
1152	46883	75102
1153	46924	75063
1154	46966	75024
1155	47006	74982
1156	47048	74944
1157	47089	74904
1158	47130	74863
1159	47172	74825
1160	47213	74784
1161	47252	74742
1162	47293	74701
1163	47334	74661
1164	47375	74621
1165	47415	74579
1166	47457	74540
1167	47498	74500
1168	47540	74461
1169	47582	74423
1170	47623	74384
1171	47664	74343
1172	47704	74302
1173	47745	74261
1174	47786	74222
1175	47826	74180
1176	47867	74139
1177	47908	74098
1178	47949	74059
1179	47990	74019
1180	48032	73980
1181	48073	73941
1182	48114	73900
1183	48154	73859
1184	48195	73817
1185	48236	73778
1186	48277	73738
1187	48319	73699
1188	48360	73659
1189	48400	73618
1190	48442	73579
1191	48485	73541
1192	48525	73499
1193	48566	73460
1194	48607	73419
1195	48648	73379
1196	48690	73340
1197	48730	73299
1198	48771	73259
1199	48812	73218
1200	48853	73178
1201	48893	73137
1202	48935	73097
1203	48975	73057
1204	49016	73016
1205	49057	72976
1206	49098	72935
1207	49138	72894
1208	49179	72853
1209	49220	72813
1210	49262	72774
1211	49302	72734
1212	49343	72692
1213	49383	72651
1214	49424	72611
1215	49465	72571
1216	49506	72531
1217	49548	72492
1218	49588	72451
1219	49629	72409
1220	49669	72368
1221	49709	72327
1222	49751	72287
1223	49792	72247
1224	49832	72206
1225	49872	72165
1226	49913	72123
1227	49953	72082
1228	49993	72041
1229	50033	72000
1230	50074	71958
1231	50114	71917
1232	50155	71877
1233	50195	71836
1234	50235	71794
1235	50278	71756
1236	50318	71715
1237	50360	71675
1238	50401	71636
1239	50443	71596
1240	50484	71556
1241	50525	71517
1242	50566	71477
1243	50607	71436
1244	50647	71395
1245	50687	71353
1246	50727	71311
1247	50768	71271
1248	50810	71232
1249	50851	71192
1250	50891	71150
1251	50933	71111
1252	50973	71070
1253	51014	71029
1254	51054	70988
1255	51095	70947
1256	51135	70906
1257	51176	70866
1258	51217	70826
1259	51258	70785
1260	51299	70745
1261	51339	70703
1262	51379	70662
1263	51421	70623
1264	51463	70583
1265	51504	70544
1266	51545	70503
1267	51585	70462
1268	51625	70420
1269	51665	70379
1270	51705	70337
1271	51746	70296
1272	51786	70255
1273	51827	70215
1274	51867	70174
1275	51908	70133
1276	51949	70092
1277	51990	70053
1278	52042	70027
1279	52084	69988
1280	52125	69948
1281	52167	69909
1282	52207	69868
1283	52248	69827
1284	52290	69788
1285	52332	69749
1286	52372	69708
1287	52414	69668
1288	52455	69628
1289	52498	69591
1290	52540	69551
1291	52580	69510
1292	52621	69469
1293	52662	69430
1294	52703	69389
1295	52743	69348
1296	52785	69308
1297	52827	69269
1298	52867	69228
1299	52907	69186
1300	52948	69145
1301	52988	69104
1302	53028	69063
1303	53070	69023
1304	53110	68982
1305	53151	68942
1306	53191	68901
1307	53233	68861
1308	53274	68821
1309	53314	68779
1310	53355	68739
1311	53395	68697
1312	53436	68657
1313	53477	68617
1314	53518	68577
1315	53562	68540
1316	53603	68499
1317	53643	68458
1318	53685	68419
1319	53726	68379
1320	53766	68337
1321	53808	68298
1322	53850	68259
1323	53891	68218
1324	53932	68179
1325	53974	68139
1326	54014	68098
1327	54054	68057
1328	54095	68016
1329	54137	67977
1330	54179	67937
1331	54220	67897
1332	54261	67857
1333	54302	67817
1334	54343	67777
1335	54385	67737
1336	54426	67697
1337	54469	67658
1338	54509	67618
1339	54549	67576
1340	54594	67541
1341	54635	67500
1342	54676	67460
1343	54716	67418
1344	54757	67378
1345	54797	67336
1346	54838	67296
1347	54880	67256
1348	54920	67215
1349	54961	67175
1350	55002	67135
1351	55043	67093
1352	55083	67052
1353	55124	67012
1354	55165	66972
1355	55206	66931
1356	55246	66889
1357	55286	66848
1358	55327	66808
1359	55369	66769
1360	55410	66728
1361	55450	66686
1362	55490	66645
1363	55531	66604
1364	55571	66564
1365	55614	66525
1366	55655	66485
1367	55696	66445
1368	55736	66403
1369	55777	66362
1370	55818	66322
1371	55858	66280
1372	55898	66239
1373	55938	66197
1374	55979	66157
1375	56019	66115
1376	56059	66074
1377	56099	66033
1378	56141	65993
1379	56182	65953
1380	56224	65914
1381	56265	65873
1382	56305	65832
1383	56345	65790
1384	56385	65748
1385	56425	65707
1386	56466	65667
1387	56507	65626
1388	56548	65586
1389	56590	65546
1390	56632	65507
1391	56676	65471
1392	56717	65430
1393	56759	65391
1394	56800	65350
1395	56841	65310
1396	56881	65269
1397	56922	65228
1398	56963	65188
1399	57006	65149
1400	57046	65108
1401	57086	65067
1402	57126	65025
1403	57168	64986
1404	57210	64946
1405	57250	64905
1406	57290	64863
1407	57330	64822
1408	57370	64781
1409	57411	64740
1410	57452	64700
1411	57492	64658
1412	57534	64619
1413	57576	64579
1414	57617	64539
1415	57658	64499
1416	57699	64458
1417	57739	64417
1418	57781	64377
1419	57821	64336
1420	57861	64295
1421	57902	64254
1422	57943	64213
1423	57983	64173
1424	58025	64133
1425	58066	64093
1426	58110	64055
1427	58152	64016
1428	58193	63976
1429	58235	63936
1430	58277	63897
1431	58318	63856
1432	58359	63816
1433	58400	63775
1434	58440	63734
1435	58481	63694
1436	58522	63654
1437	58563	63613
1438	58603	63572
1439	58646	63533
1440	58688	63494
1441	58729	63454
1442	58771	63414
1443	58813	63375
1444	58854	63334
1445	58895	63294
1446	58936	63253
1447	58977	63212
1448	59017	63172
1449	59058	63131
1450	59098	63090
1451	59140	63050
1452	59181	63010
1453	59222	62969
1454	59264	62929
1455	59307	62891
1456	59349	62852
1457	59389	62811
1458	59430	62770
1459	59471	62730
1460	59514	62691
1461	59554	62650
1462	59596	62610
1463	59638	62571
1464	59680	62532
1465	59722	62492
1466	59764	62453
1467	59807	62415
1468	59848	62374
1469	59889	62333
1470	59929	62292
1471	59970	62252
1472	60011	62211
1473	60052	62171
1474	60094	62132
1475	60135	62091
1476	60176	62050
1477	60217	62010
1478	60259	61970
1479	60300	61930
1480	60341	61889
1481	60382	61849
1482	60422	61808
